Year,Month,pdsi,Date
1895,Jan,-0.37,1895-01-01
1895,Feb,0.39,1895-02-01
1895,Mar,-0.23,1895-03-01
1895,Apr,-0.61,1895-04-01
1895,May,0.29,1895-05-01
1895,Jun,0.8,1895-06-01
1895,Jul,0.71,1895-07-01
1895,Aug,0.75,1895-08-01
1895,Sep,-0.48,1895-09-01
1895,Oct,-0.64,1895-10-01
1895,Nov,0.22,1895-11-01
1895,Dec,-0.22,1895-12-01
1896,Jan,0.56,1896-01-01
1896,Feb,0.79,1896-02-01
1896,Mar,0.09,1896-03-01
1896,Apr,0.06,1896-04-01
1896,May,-1.16,1896-05-01
1896,Jun,-2.02,1896-06-01
1896,Jul,-2.36,1896-07-01
1896,Aug,-2.65,1896-08-01
1896,Sep,-1.95,1896-09-01
1896,Oct,-1.22,1896-10-01
1896,Nov,-1.57,1896-11-01
1896,Dec,-1.67,1896-12-01
1897,Jan,-1.45,1897-01-01
1897,Feb,-2.07,1897-02-01
1897,Mar,-2.11,1897-03-01
1897,Apr,-2.07,1897-04-01
1897,May,-2.06,1897-05-01
1897,Jun,-2.14,1897-06-01
1897,Jul,-2.69,1897-07-01
1897,Aug,-2.34,1897-08-01
1897,Sep,-2.47,1897-09-01
1897,Oct,-2.26,1897-10-01
1897,Nov,-2.8,1897-11-01
1897,Dec,-2.7,1897-12-01
1898,Jan,-2.8,1898-01-01
1898,Feb,-2.83,1898-02-01
1898,Mar,-2.76,1898-03-01
1898,Apr,-2.38,1898-04-01
1898,May,-2.66,1898-05-01
1898,Jun,-2.1,1898-06-01
1898,Jul,-2.03,1898-07-01
1898,Aug,-1.92,1898-08-01
1898,Sep,-2.28,1898-09-01
1898,Oct,-2.67,1898-10-01
1898,Nov,-2.53,1898-11-01
1898,Dec,-2.38,1898-12-01
1899,Jan,-2.14,1899-01-01
1899,Feb,-2.35,1899-02-01
1899,Mar,-2.85,1899-03-01
1899,Apr,-2.55,1899-04-01
1899,May,-2.98,1899-05-01
1899,Jun,-1.76,1899-06-01
1899,Jul,-1.5,1899-07-01
1899,Aug,-2.06,1899-08-01
1899,Sep,-2.24,1899-09-01
1899,Oct,-1.97,1899-10-01
1899,Nov,-1.75,1899-11-01
1899,Dec,-0.81,1899-12-01
1900,Jan,1.05,1900-01-01
1900,Feb,0.66,1900-02-01
1900,Mar,2.05,1900-03-01
1900,Apr,3.9,1900-04-01
1900,May,4.18,1900-05-01
1900,Jun,3.61,1900-06-01
1900,Jul,4.34,1900-07-01
1900,Aug,4.75,1900-08-01
1900,Sep,4.45,1900-09-01
1900,Oct,4.08,1900-10-01
1900,Nov,3.46,1900-11-01
1900,Dec,2.84,1900-12-01
1901,Jan,2.04,1901-01-01
1901,Feb,1.55,1901-02-01
1901,Mar,0.19,1901-03-01
1901,Apr,-0.82,1901-04-01
1901,May,-1.26,1901-05-01
1901,Jun,-2.01,1901-06-01
1901,Jul,-1.89,1901-07-01
1901,Aug,-2.3,1901-08-01
1901,Sep,-2.09,1901-09-01
1901,Oct,-2.57,1901-10-01
1901,Nov,-2.93,1901-11-01
1901,Dec,-3.14,1901-12-01
1902,Jan,-3.32,1902-01-01
1902,Feb,-3.38,1902-02-01
1902,Mar,-3.66,1902-03-01
1902,Apr,-3.78,1902-04-01
1902,May,-3.77,1902-05-01
1902,Jun,-4.21,1902-06-01
1902,Jul,-3.53,1902-07-01
1902,Aug,-4.16,1902-08-01
1902,Sep,-2.87,1902-09-01
1902,Oct,-2.73,1902-10-01
1902,Nov,-0.77,1902-11-01
1902,Dec,0.41,1902-12-01
1903,Jan,1.61,1903-01-01
1903,Feb,4.27,1903-02-01
1903,Mar,4.42,1903-03-01
1903,Apr,3.83,1903-04-01
1903,May,3.28,1903-05-01
1903,Jun,3.4,1903-06-01
1903,Jul,4.97,1903-07-01
1903,Aug,5.21,1903-08-01
1903,Sep,4.37,1903-09-01
1903,Oct,4.09,1903-10-01
1903,Nov,3.07,1903-11-01
1903,Dec,2.47,1903-12-01
1904,Jan,1.47,1904-01-01
1904,Feb,0.34,1904-02-01
1904,Mar,-1.68,1904-03-01
1904,Apr,-1.57,1904-04-01
1904,May,-0.98,1904-05-01
1904,Jun,-0.74,1904-06-01
1904,Jul,-0.43,1904-07-01
1904,Aug,0.02,1904-08-01
1904,Sep,0.89,1904-09-01
1904,Oct,1.03,1904-10-01
1904,Nov,0.57,1904-11-01
1904,Dec,-0.03,1904-12-01
1905,Jan,-0.45,1905-01-01
1905,Feb,0.21,1905-02-01
1905,Mar,1.26,1905-03-01
1905,Apr,2.75,1905-04-01
1905,May,2.37,1905-05-01
1905,Jun,2.67,1905-06-01
1905,Jul,2.53,1905-07-01
1905,Aug,1.96,1905-08-01
1905,Sep,1.28,1905-09-01
1905,Oct,0.66,1905-10-01
1905,Nov,1.05,1905-11-01
1905,Dec,1.38,1905-12-01
1906,Jan,0.82,1906-01-01
1906,Feb,0.69,1906-02-01
1906,Mar,0.7,1906-03-01
1906,Apr,0.39,1906-04-01
1906,May,-0.4,1906-05-01
1906,Jun,-1.17,1906-06-01
1906,Jul,-0.78,1906-07-01
1906,Aug,-0.4,1906-08-01
1906,Sep,-0.53,1906-09-01
1906,Oct,-0.61,1906-10-01
1906,Nov,-0.91,1906-11-01
1906,Dec,-1.28,1906-12-01
1907,Jan,-2.01,1907-01-01
1907,Feb,-2.3,1907-02-01
1907,Mar,-2.9,1907-03-01
1907,Apr,-2.86,1907-04-01
1907,May,-1.89,1907-05-01
1907,Jun,-2.3,1907-06-01
1907,Jul,-2.22,1907-07-01
1907,Aug,-2.57,1907-08-01
1907,Sep,-2.99,1907-09-01
1907,Oct,-2.14,1907-10-01
1907,Nov,1.77,1907-11-01
1907,Dec,1.7,1907-12-01
1908,Jan,1.28,1908-01-01
1908,Feb,1.77,1908-02-01
1908,Mar,1.28,1908-03-01
1908,Apr,1.5,1908-04-01
1908,May,1.7,1908-05-01
1908,Jun,1.48,1908-06-01
1908,Jul,1.27,1908-07-01
1908,Aug,1.47,1908-08-01
1908,Sep,1.25,1908-09-01
1908,Oct,0.73,1908-10-01
1908,Nov,0.69,1908-11-01
1908,Dec,0.45,1908-12-01
1909,Jan,-1.05,1909-01-01
1909,Feb,-1.87,1909-02-01
1909,Mar,-2.43,1909-03-01
1909,Apr,-2.63,1909-04-01
1909,May,-2.48,1909-05-01
1909,Jun,-2.78,1909-06-01
1909,Jul,-2.27,1909-07-01
1909,Aug,-2.33,1909-08-01
1909,Sep,-2.77,1909-09-01
1909,Oct,-2.78,1909-10-01
1909,Nov,-2.74,1909-11-01
1909,Dec,-2.51,1909-12-01
1910,Jan,-2.64,1910-01-01
1910,Feb,-2.64,1910-02-01
1910,Mar,-2.58,1910-03-01
1910,Apr,-2.2,1910-04-01
1910,May,-1.95,1910-05-01
1910,Jun,-2.29,1910-06-01
1910,Jul,-2.67,1910-07-01
1910,Aug,-3.18,1910-08-01
1910,Sep,-3.43,1910-09-01
1910,Oct,-3.34,1910-10-01
1910,Nov,-3.67,1910-11-01
1910,Dec,-3.28,1910-12-01
1911,Jan,-3.85,1911-01-01
1911,Feb,-3.89,1911-02-01
1911,Mar,-3.47,1911-03-01
1911,Apr,-2.5,1911-04-01
1911,May,-2.52,1911-05-01
1911,Jun,-3.14,1911-06-01
1911,Jul,-3.29,1911-07-01
1911,Aug,-3.58,1911-08-01
1911,Sep,-4.1,1911-09-01
1911,Oct,-3.92,1911-10-01
1911,Nov,-3.54,1911-11-01
1911,Dec,-2.43,1911-12-01
1912,Jan,-2.6,1912-01-01
1912,Feb,-1.75,1912-02-01
1912,Mar,-1.23,1912-03-01
1912,Apr,-0.89,1912-04-01
1912,May,-1.06,1912-05-01
1912,Jun,-0.32,1912-06-01
1912,Jul,-0.7,1912-07-01
1912,Aug,-1.46,1912-08-01
1912,Sep,-2.22,1912-09-01
1912,Oct,-1.9,1912-10-01
1912,Nov,-1.77,1912-11-01
1912,Dec,-1.4,1912-12-01
1913,Jan,-1.58,1913-01-01
1913,Feb,-1.14,1913-02-01
1913,Mar,-0.71,1913-03-01
1913,Apr,-0.95,1913-04-01
1913,May,-1.23,1913-05-01
1913,Jun,-0.76,1913-06-01
1913,Jul,-1.32,1913-07-01
1913,Aug,-1.46,1913-08-01
1913,Sep,1.13,1913-09-01
1913,Oct,2.62,1913-10-01
1913,Nov,3.38,1913-11-01
1913,Dec,4.55,1913-12-01
1914,Jan,3.67,1914-01-01
1914,Feb,3.54,1914-02-01
1914,Mar,3.43,1914-03-01
1914,Apr,4.13,1914-04-01
1914,May,5.21,1914-05-01
1914,Jun,4.37,1914-06-01
1914,Jul,3.37,1914-07-01
1914,Aug,4.51,1914-08-01
1914,Sep,3.62,1914-09-01
1914,Oct,3.96,1914-10-01
1914,Nov,4.1,1914-11-01
1914,Dec,4.33,1914-12-01
1915,Jan,4.05,1915-01-01
1915,Feb,3.64,1915-02-01
1915,Mar,3.65,1915-03-01
1915,Apr,4.57,1915-04-01
1915,May,3.92,1915-05-01
1915,Jun,2.87,1915-06-01
1915,Jul,2.07,1915-07-01
1915,Aug,2.46,1915-08-01
1915,Sep,2.06,1915-09-01
1915,Oct,0.89,1915-10-01
1915,Nov,-1.21,1915-11-01
1915,Dec,-1.84,1915-12-01
1916,Jan,-1.9,1916-01-01
1916,Feb,-2.65,1916-02-01
1916,Mar,-3.59,1916-03-01
1916,Apr,-3.45,1916-04-01
1916,May,-3.23,1916-05-01
1916,Jun,-3.76,1916-06-01
1916,Jul,-3.14,1916-07-01
1916,Aug,-2.33,1916-08-01
1916,Sep,-2.63,1916-09-01
1916,Oct,-2.82,1916-10-01
1916,Nov,-2.91,1916-11-01
1916,Dec,-3.43,1916-12-01
1917,Jan,-3.73,1917-01-01
1917,Feb,-4.08,1917-02-01
1917,Mar,-4.53,1917-03-01
1917,Apr,-4.66,1917-04-01
1917,May,-4.41,1917-05-01
1917,Jun,-5.11,1917-06-01
1917,Jul,-5.16,1917-07-01
1917,Aug,-5.42,1917-08-01
1917,Sep,-5.46,1917-09-01
1917,Oct,-5.69,1917-10-01
1917,Nov,-5.68,1917-11-01
1917,Dec,-6,1917-12-01
1918,Jan,-6.12,1918-01-01
1918,Feb,-5.87,1918-02-01
1918,Mar,-5.73,1918-03-01
1918,Apr,-4.86,1918-04-01
1918,May,-4.78,1918-05-01
1918,Jun,-4.92,1918-06-01
1918,Jul,-5.34,1918-07-01
1918,Aug,-5.49,1918-08-01
1918,Sep,-5.08,1918-09-01
1918,Oct,-4.33,1918-10-01
1918,Nov,-3.22,1918-11-01
1918,Dec,-2.13,1918-12-01
1919,Jan,0.07,1919-01-01
1919,Feb,0.79,1919-02-01
