period,None,D0,D1,D2,D3,D4
2000-01-04,0.00,100.00,100.00,0.00,0.00,0.00
2000-01-11,0.00,100.00,100.00,0.00,0.00,0.00
2000-01-18,0.00,100.00,100.00,0.00,0.00,0.00
2000-01-25,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-01,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-08,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-15,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-22,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-29,0.00,100.00,100.00,100.00,0.00,0.00
2000-03-07,0.00,100.00,100.00,100.00,0.00,0.00
2000-03-14,0.00,100.00,100.00,100.00,0.00,0.00
2000-03-21,0.00,100.00,100.00,0.00,0.00,0.00
2000-03-28,0.00,100.00,100.00,0.00,0.00,0.00
2000-04-04,0.00,100.00,100.00,23.14,0.00,0.00
2000-04-11,0.00,100.00,100.00,23.14,0.00,0.00
2000-04-18,0.00,100.00,100.00,63.08,0.00,0.00
2000-04-25,0.00,100.00,100.00,63.08,0.00,0.00
2000-05-02,0.00,100.00,100.00,0.00,0.00,0.00
2000-05-09,0.00,100.00,100.00,0.00,0.00,0.00
2000-05-16,0.00,100.00,100.00,0.00,0.00,0.00
2000-05-23,100.00,0.00,0.00,0.00,0.00,0.00
2000-05-30,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-06,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-13,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-20,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-27,100.00,0.00,0.00,0.00,0.00,0.00
2000-07-04,0.00,100.00,0.00,0.00,0.00,0.00
2000-07-11,0.00,100.00,0.00,0.00,0.00,0.00
2000-07-18,0.00,100.00,100.00,0.00,0.00,0.00
2000-07-25,0.00,100.00,100.00,0.00,0.00,0.00
2000-08-01,0.00,100.00,100.00,100.00,0.00,0.00
2000-08-08,0.00,100.00,100.00,100.00,0.00,0.00
2000-08-15,0.00,100.00,100.00,100.00,0.00,0.00
2000-08-22,0.00,100.00,100.00,100.00,0.00,0.00
2000-08-29,0.00,100.00,100.00,100.00,0.00,0.00
2000-09-05,0.00,100.00,100.00,100.00,0.00,0.00
2000-09-12,0.00,100.00,100.00,100.00,0.00,0.00
2000-09-19,0.00,100.00,100.00,100.00,0.00,0.00
2000-09-26,0.00,100.00,100.00,100.00,0.00,0.00
2000-10-03,0.00,100.00,100.00,100.00,0.00,0.00
2000-10-10,0.00,100.00,100.00,0.00,0.00,0.00
2000-10-17,0.00,100.00,100.00,0.00,0.00,0.00
2000-10-24,0.00,100.00,100.00,0.00,0.00,0.00
2000-10-31,0.00,100.00,100.00,0.00,0.00,0.00
2000-11-07,0.00,100.00,0.00,0.00,0.00,0.00
2000-11-14,0.00,100.00,0.67,0.00,0.00,0.00
2000-11-21,0.00,100.00,0.00,0.00,0.00,0.00
2000-11-28,0.00,100.00,0.00,0.00,0.00,0.00
2000-12-05,66.67,33.33,0.00,0.00,0.00,0.00
2000-12-12,66.67,33.33,0.00,0.00,0.00,0.00
2000-12-19,66.67,33.33,0.00,0.00,0.00,0.00
2000-12-26,66.67,33.33,0.00,0.00,0.00,0.00
2001-01-02,66.67,33.33,0.00,0.00,0.00,0.00
2001-01-09,66.67,33.33,0.00,0.00,0.00,0.00
2001-01-16,66.67,33.33,0.00,0.00,0.00,0.00
2001-01-23,100.00,0.00,0.00,0.00,0.00,0.00
2001-01-30,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-06,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-13,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-20,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-27,99.40,0.60,0.00,0.00,0.00,0.00
2001-03-06,92.28,7.72,0.00,0.00,0.00,0.00
2001-03-13,92.28,7.72,0.00,0.00,0.00,0.00
2001-03-20,92.28,7.72,0.00,0.00,0.00,0.00
2001-03-27,92.28,7.72,0.00,0.00,0.00,0.00
2001-04-03,100.00,0.00,0.00,0.00,0.00,0.00
2001-04-10,100.00,0.00,0.00,0.00,0.00,0.00
2001-04-17,98.73,1.27,0.00,0.00,0.00,0.00
2001-04-24,98.73,1.27,0.00,0.00,0.00,0.00
2001-05-01,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-08,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-15,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-22,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-29,100.00,0.00,0.00,0.00,0.00,0.00
2001-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2001-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2001-06-19,0.00,100.00,0.00,0.00,0.00,0.00
2001-06-26,0.00,100.00,0.00,0.00,0.00,0.00
2001-07-03,100.00,0.00,0.00,0.00,0.00,0.00
2001-07-10,100.00,0.00,0.00,0.00,0.00,0.00
2001-07-17,0.00,100.00,0.00,0.00,0.00,0.00
2001-07-24,0.00,100.00,0.00,0.00,0.00,0.00
2001-07-31,0.00,100.00,0.00,0.00,0.00,0.00
2001-08-07,0.00,100.00,0.00,0.00,0.00,0.00
2001-08-14,0.00,100.00,0.00,0.00,0.00,0.00
2001-08-21,0.00,100.00,41.64,0.00,0.00,0.00
2001-08-28,0.00,100.00,43.99,0.00,0.00,0.00
2001-09-04,100.00,0.00,0.00,0.00,0.00,0.00
2001-09-11,100.00,0.00,0.00,0.00,0.00,0.00
2001-09-18,100.00,0.00,0.00,0.00,0.00,0.00
2001-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-26,0.00,100.00,0.00,0.00,0.00,0.00
2002-03-05,0.00,100.00,0.00,0.00,0.00,0.00
2002-03-12,0.00,100.00,0.00,0.00,0.00,0.00
2002-03-19,0.00,100.00,0.00,0.00,0.00,0.00
2002-03-26,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-02,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-09,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-16,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-23,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-30,0.00,100.00,0.00,0.00,0.00,0.00
2002-05-07,0.00,100.00,0.00,0.00,0.00,0.00
2002-05-14,0.00,100.00,100.00,0.00,0.00,0.00
2002-05-21,0.00,100.00,100.00,0.00,0.00,0.00
2002-05-28,0.00,100.00,100.00,0.00,0.00,0.00
2002-06-04,0.00,100.00,100.00,0.00,0.00,0.00
2002-06-11,0.00,100.00,100.00,0.00,0.00,0.00
2002-06-18,0.00,100.00,100.00,33.41,0.00,0.00
2002-06-25,0.00,100.00,100.00,100.00,2.64,0.00
2002-07-02,0.00,100.00,100.00,100.00,0.00,0.00
2002-07-09,0.00,100.00,100.00,10.41,0.00,0.00
2002-07-16,20.08,79.92,3.69,0.00,0.00,0.00
2002-07-23,46.07,53.93,8.40,0.00,0.00,0.00
2002-07-30,61.50,38.50,0.00,0.00,0.00,0.00
2002-08-06,75.91,24.09,0.00,0.00,0.00,0.00
2002-08-13,77.09,22.91,0.00,0.00,0.00,0.00
2002-08-20,100.00,0.00,0.00,0.00,0.00,0.00
2002-08-27,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-03,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-10,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-17,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-24,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-01,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-08,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-15,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-22,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-29,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-05,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-12,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-19,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-26,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-03,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-10,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-17,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-24,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-31,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-07,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-14,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-21,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-28,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-04,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-11,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-18,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-25,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-04,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-11,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-18,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-25,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-01,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-08,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-15,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-22,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-29,100.00,0.00,0.00,0.00,0.00,0.00
2003-05-06,100.00,0.00,0.00,0.00,0.00,0.00
2003-05-13,100.00,0.00,0.00,0.00,0.00,0.00
2003-05-20,0.00,100.00,0.00,0.00,0.00,0.00
2003-05-27,0.00,100.00,0.00,0.00,0.00,0.00
2003-06-03,0.00,100.00,100.00,0.00,0.00,0.00
2003-06-10,0.00,100.00,100.00,0.00,0.00,0.00
2003-06-17,0.00,100.00,100.00,21.01,0.00,0.00
2003-06-24,0.00,100.00,100.00,1.22,0.00,0.00
2003-07-01,0.00,100.00,100.00,0.00,0.00,0.00
2003-07-08,0.00,100.00,0.00,0.00,0.00,0.00
2003-07-15,1.57,98.43,0.00,0.00,0.00,0.00
2003-07-22,100.00,0.00,0.00,0.00,0.00,0.00
2003-07-29,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-05,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-12,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-19,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-26,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-02,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-09,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-16,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-23,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-30,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-07,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-14,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-21,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-28,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-04,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-11,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-18,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-25,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-02,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-09,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-16,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-23,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-30,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-06,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-13,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-20,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-27,100.00,0.00,0.00,0.00,0.00,0.00
2004-02-03,100.00,0.00,0.00,0.00,0.00,0.00
2004-02-10,100.00,0.00,0.00,0.00,0.00,0.00
2004-02-17,100.00,0.00,0.00,0.00,0.00,0.00
