period,None,D0,D1,D2,D3,D4
2000-01-04,0.00,100.00,100.00,0.00,0.00,0.00
2000-01-11,0.00,100.00,100.00,0.00,0.00,0.00
2000-01-18,0.00,100.00,100.00,0.00,0.00,0.00
2000-01-25,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-01,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-08,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-15,0.00,100.00,100.00,0.00,0.00,0.00
2000-02-22,0.00,100.00,100.00,2.11,0.00,0.00
2000-02-29,0.00,100.00,100.00,100.00,0.00,0.00
2000-03-07,0.00,100.00,100.00,100.00,0.00,0.00
2000-03-14,0.00,100.00,100.00,100.00,0.00,0.00
2000-03-21,0.00,100.00,100.00,0.84,0.00,0.00
2000-03-28,0.00,100.00,100.00,0.48,0.00,0.00
2000-04-04,0.00,100.00,100.00,43.73,0.00,0.00
2000-04-11,0.00,100.00,100.00,43.73,0.00,0.00
2000-04-18,0.00,100.00,100.00,77.96,0.00,0.00
2000-04-25,0.00,100.00,100.00,77.96,0.00,0.00
2000-05-02,0.00,100.00,100.00,0.00,0.00,0.00
2000-05-09,0.00,100.00,100.00,0.00,0.00,0.00
2000-05-16,0.00,100.00,100.00,0.00,0.00,0.00
2000-05-23,100.00,0.00,0.00,0.00,0.00,0.00
2000-05-30,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-06,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-13,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-20,100.00,0.00,0.00,0.00,0.00,0.00
2000-06-27,100.00,0.00,0.00,0.00,0.00,0.00
2000-07-04,62.81,37.19,0.00,0.00,0.00,0.00
2000-07-11,0.00,100.00,0.00,0.00,0.00,0.00
2000-07-18,0.00,100.00,100.00,0.00,0.00,0.00
2000-07-25,0.00,100.00,100.00,0.50,0.00,0.00
2000-08-01,0.00,100.00,100.00,69.05,0.00,0.00
2000-08-08,0.00,100.00,100.00,69.04,0.00,0.00
2000-08-15,0.00,100.00,100.00,69.05,0.00,0.00
2000-08-22,0.00,100.00,100.00,87.82,0.00,0.00
2000-08-29,0.00,100.00,100.00,93.60,0.00,0.00
2000-09-05,0.00,100.00,100.00,100.00,0.00,0.00
2000-09-12,0.00,100.00,100.00,100.00,0.00,0.00
2000-09-19,0.00,100.00,100.00,100.00,0.00,0.00
2000-09-26,0.00,100.00,100.00,100.00,0.00,0.00
2000-10-03,0.00,100.00,100.00,100.00,0.00,0.00
2000-10-10,0.00,100.00,100.00,0.00,0.00,0.00
2000-10-17,0.00,100.00,100.00,0.00,0.00,0.00
2000-10-24,0.00,100.00,100.00,0.00,0.00,0.00
2000-10-31,0.00,100.00,100.00,0.00,0.00,0.00
2000-11-07,48.10,51.90,0.00,0.00,0.00,0.00
2000-11-14,48.19,51.81,0.00,0.00,0.00,0.00
2000-11-21,59.47,40.53,0.00,0.00,0.00,0.00
2000-11-28,65.07,34.93,0.00,0.00,0.00,0.00
2000-12-05,100.00,0.00,0.00,0.00,0.00,0.00
2000-12-12,100.00,0.00,0.00,0.00,0.00,0.00
2000-12-19,100.00,0.00,0.00,0.00,0.00,0.00
2000-12-26,100.00,0.00,0.00,0.00,0.00,0.00
2001-01-02,100.00,0.00,0.00,0.00,0.00,0.00
2001-01-09,100.00,0.00,0.00,0.00,0.00,0.00
2001-01-16,100.00,0.00,0.00,0.00,0.00,0.00
2001-01-23,100.00,0.00,0.00,0.00,0.00,0.00
2001-01-30,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-06,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-13,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-20,100.00,0.00,0.00,0.00,0.00,0.00
2001-02-27,100.00,0.00,0.00,0.00,0.00,0.00
2001-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2001-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2001-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2001-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2001-04-03,100.00,0.00,0.00,0.00,0.00,0.00
2001-04-10,100.00,0.00,0.00,0.00,0.00,0.00
2001-04-17,100.00,0.00,0.00,0.00,0.00,0.00
2001-04-24,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-01,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-08,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-15,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-22,100.00,0.00,0.00,0.00,0.00,0.00
2001-05-29,100.00,0.00,0.00,0.00,0.00,0.00
2001-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2001-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2001-06-19,0.00,100.00,0.00,0.00,0.00,0.00
2001-06-26,0.00,100.00,0.00,0.00,0.00,0.00
2001-07-03,89.58,10.42,0.00,0.00,0.00,0.00
2001-07-10,89.58,10.42,0.00,0.00,0.00,0.00
2001-07-17,0.00,100.00,0.00,0.00,0.00,0.00
2001-07-24,0.00,100.00,0.00,0.00,0.00,0.00
2001-07-31,0.00,100.00,0.00,0.00,0.00,0.00
2001-08-07,0.00,100.00,0.00,0.00,0.00,0.00
2001-08-14,0.00,100.00,0.00,0.00,0.00,0.00
2001-08-21,0.00,100.00,44.22,0.00,0.00,0.00
2001-08-28,0.00,100.00,71.41,0.00,0.00,0.00
2001-09-04,100.00,0.00,0.00,0.00,0.00,0.00
2001-09-11,100.00,0.00,0.00,0.00,0.00,0.00
2001-09-18,100.00,0.00,0.00,0.00,0.00,0.00
2001-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2001-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2001-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2001-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2002-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2002-02-26,51.55,48.45,0.00,0.00,0.00,0.00
2002-03-05,0.00,100.00,0.00,0.00,0.00,0.00
2002-03-12,0.00,100.00,0.00,0.00,0.00,0.00
2002-03-19,0.00,100.00,0.00,0.00,0.00,0.00
2002-03-26,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-02,0.00,100.00,0.97,0.00,0.00,0.00
2002-04-09,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-16,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-23,0.00,100.00,0.00,0.00,0.00,0.00
2002-04-30,0.00,100.00,0.00,0.00,0.00,0.00
2002-05-07,0.00,100.00,0.20,0.00,0.00,0.00
2002-05-14,0.00,100.00,100.00,0.00,0.00,0.00
2002-05-21,0.00,100.00,100.00,1.84,0.00,0.00
2002-05-28,0.00,100.00,100.00,1.54,0.00,0.00
2002-06-04,0.00,100.00,100.00,0.00,0.00,0.00
2002-06-11,0.00,100.00,100.00,0.00,0.00,0.00
2002-06-18,0.00,100.00,100.00,22.46,0.00,0.00
2002-06-25,0.00,100.00,100.00,100.00,14.29,0.00
2002-07-02,0.00,100.00,100.00,85.19,0.00,0.00
2002-07-09,0.07,99.93,49.91,0.00,0.00,0.00
2002-07-16,80.65,19.35,0.00,0.00,0.00,0.00
2002-07-23,93.68,6.32,0.00,0.00,0.00,0.00
2002-07-30,96.69,3.31,0.00,0.00,0.00,0.00
2002-08-06,99.63,0.37,0.00,0.00,0.00,0.00
2002-08-13,100.00,0.00,0.00,0.00,0.00,0.00
2002-08-20,100.00,0.00,0.00,0.00,0.00,0.00
2002-08-27,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-03,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-10,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-17,100.00,0.00,0.00,0.00,0.00,0.00
2002-09-24,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-01,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-08,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-15,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-22,100.00,0.00,0.00,0.00,0.00,0.00
2002-10-29,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-05,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-12,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-19,100.00,0.00,0.00,0.00,0.00,0.00
2002-11-26,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-03,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-10,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-17,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-24,100.00,0.00,0.00,0.00,0.00,0.00
2002-12-31,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-07,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-14,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-21,100.00,0.00,0.00,0.00,0.00,0.00
2003-01-28,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-04,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-11,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-18,100.00,0.00,0.00,0.00,0.00,0.00
2003-02-25,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-04,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-11,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-18,100.00,0.00,0.00,0.00,0.00,0.00
2003-03-25,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-01,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-08,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-15,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-22,100.00,0.00,0.00,0.00,0.00,0.00
2003-04-29,75.63,24.37,0.00,0.00,0.00,0.00
2003-05-06,92.79,7.21,0.00,0.00,0.00,0.00
2003-05-13,77.97,22.03,0.00,0.00,0.00,0.00
2003-05-20,0.00,100.00,48.68,0.00,0.00,0.00
2003-05-27,0.00,100.00,41.09,0.00,0.00,0.00
2003-06-03,0.00,100.00,99.84,0.00,0.00,0.00
2003-06-10,0.00,100.00,99.79,0.00,0.00,0.00
2003-06-17,0.00,100.00,100.00,28.48,0.00,0.00
2003-06-24,0.00,100.00,99.20,15.09,0.00,0.00
2003-07-01,0.00,100.00,100.00,0.00,0.00,0.00
2003-07-08,0.00,100.00,0.00,0.00,0.00,0.00
2003-07-15,0.00,100.00,0.00,0.00,0.00,0.00
2003-07-22,100.00,0.00,0.00,0.00,0.00,0.00
2003-07-29,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-05,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-12,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-19,100.00,0.00,0.00,0.00,0.00,0.00
2003-08-26,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-02,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-09,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-16,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-23,100.00,0.00,0.00,0.00,0.00,0.00
2003-09-30,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-07,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-14,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-21,100.00,0.00,0.00,0.00,0.00,0.00
2003-10-28,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-04,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-11,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-18,100.00,0.00,0.00,0.00,0.00,0.00
2003-11-25,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-02,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-09,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-16,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-23,100.00,0.00,0.00,0.00,0.00,0.00
2003-12-30,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-06,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-13,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-20,100.00,0.00,0.00,0.00,0.00,0.00
2004-01-27,100.00,0.00,0.00,0.00,0.00,0.00
2004-02-03,100.00,0.00,0.00,0.00,0.00,0.00
2004-02-10,100.00,0.00,0.00,0.00,0.00,0.00
2004-02-17,100.00,0.00,0.00,0.00,0.00,0.00
