"sampling_site","n","slope_per_yr","p_value","ratio"
"AB",96,-0.204585343331552,0.483433057843083,"NP_ratio"
"CE",96,-0.268329755324161,0.00287323089830786,"NP_ratio"
"CW",96,-0.19209898118116,0.00014958473619914,"NP_ratio"
"MB",96,-0.166823081382076,0.200226054562465,"NP_ratio"
"SC",95,-0.476091787813015,0.0147176605536686,"NP_ratio"
"AB",96,-0.0012688250742196,0.422199025769654,"NSi_ratio"
"CE",96,-0.00498492142291843,0.00538987052199798,"NSi_ratio"
"CW",96,-0.00252642401022837,0.026059574708593,"NSi_ratio"
"MB",96,-0.003896776951907,0.0182034772742123,"NSi_ratio"
"SC",96,-0.00413439427598587,0.634771072526582,"NSi_ratio"
