"Size Frac","Site","Variable","Post. Mean","95% Cred.Intv","Pr(>0)"
"pico","CW","seasonal","0.46","(0.10, 0.95)","1.00"
"pico","CW","wind","-0.07","(-0.29, 0.14)","0.27"
"pico","CW","temp","0.19","(-0.19, 0.57)","0.83"
"pico","CW","sal","-0.08","(-0.31, 0.15)","0.25"
"pico","CW","P","0.16","(-0.13, 0.43)","0.87"
"pico","CW","NH4","-0.14","(-0.36, 0.08)","0.10"
"pico","CW","N","-0.12","(-0.34, 0.10)","0.15"
"pico","CW","SiOH","0.36","(-0.04, 0.78)","0.96"
"pico","CE","seasonal","0.45","(0.10, 0.99)","1.00"
"pico","CE","wind","0.01","(-0.21, 0.23)","0.54"
"pico","CE","temp","0.32","(-0.06, 0.71)","0.95"
"pico","CE","sal","-0.07","(-0.33, 0.18)","0.29"
"pico","CE","P","0.34","(0.01, 0.68)","0.98"
"pico","CE","NH4","-0.08","(-0.29, 0.13)","0.22"
"pico","CE","N","-0.22","(-0.44, -0.02)","0.02"
"pico","CE","SiOH","0.34","(-0.08, 0.79)","0.95"
"pico","AB","seasonal","0.37","(0.07, 0.83)","1.00"
"pico","AB","wind","-0.02","(-0.25, 0.19)","0.42"
"pico","AB","temp","0.19","(-0.15, 0.56)","0.86"
"pico","AB","sal","-0.00","(-0.31, 0.34)","0.50"
"pico","AB","P","0.24","(-0.02, 0.51)","0.96"
"pico","AB","NH4","-0.00","(-0.22, 0.21)","0.49"
"pico","AB","N","-0.18","(-0.39, 0.04)","0.05"
"pico","AB","SiOH","0.27","(-0.11, 0.62)","0.92"
"pico","MB","seasonal","0.49","(0.11, 0.98)","1.00"
"pico","MB","wind","0.11","(-0.10, 0.34)","0.84"
"pico","MB","temp","0.52","(0.13, 0.94)","1.00"
"pico","MB","sal","-0.24","(-0.56, 0.07)","0.07"
"pico","MB","P","0.57","(0.25, 0.92)","1.00"
"pico","MB","NH4","0.15","(-0.06, 0.35)","0.92"
"pico","MB","N","-0.25","(-0.46, -0.04)","0.01"
"pico","MB","SiOH","0.39","(-0.00, 0.83)","0.97"
