"Trophic Role","Site","Variable","Post. Mean","95% Cred.Intv","Pr(>0)"
"diat_auto","CW","wind_pca","0.05","(-0.21, 0.30)","0.65"
"diat_auto","CW","temp","-0.32","(-0.66, 0.02)","0.03"
"diat_auto","CW","sal","0.48","(0.14, 0.84)","1.00"
"diat_auto","CW","P","0.08","(-0.27, 0.43)","0.69"
"diat_auto","CW","NH4","-0.13","(-0.43, 0.14)","0.18"
"diat_auto","CW","N","0.09","(-0.22, 0.40)","0.72"
"diat_auto","CW","SiOH","0.05","(-0.59, 0.70)","0.57"
"diat_auto","CW","micro","0.03","(-4.72, 4.90)","0.50"
"diat_auto","CW","nano","-0.05","(-4.55, 4.62)","0.49"
"diat_auto","CW","pico","-0.05","(-4.87, 4.65)","0.49"
"diat_auto","CE","wind_pca","0.30","(0.06, 0.56)","0.99"
"diat_auto","CE","temp","-0.48","(-0.82, -0.15)","0.00"
"diat_auto","CE","sal","0.27","(-0.09, 0.61)","0.93"
"diat_auto","CE","P","-0.22","(-0.68, 0.16)","0.14"
"diat_auto","CE","NH4","-0.02","(-0.35, 0.26)","0.44"
"diat_auto","CE","N","0.06","(-0.23, 0.34)","0.65"
"diat_auto","CE","SiOH","-0.07","(-0.63, 0.46)","0.40"
"diat_auto","CE","micro","0.02","(-4.67, 4.89)","0.50"
"diat_auto","CE","nano","-0.06","(-4.64, 4.81)","0.49"
"diat_auto","CE","pico","-0.07","(-4.91, 4.76)","0.49"
"diat_auto","AB","wind_pca","0.25","(0.01, 0.49)","0.98"
"diat_auto","AB","temp","-0.59","(-0.95, -0.24)","0.00"
"diat_auto","AB","sal","0.49","(0.14, 0.85)","1.00"
"diat_auto","AB","P","-0.04","(-0.35, 0.26)","0.39"
"diat_auto","AB","NH4","-0.04","(-0.36, 0.26)","0.40"
"diat_auto","AB","N","-0.01","(-0.28, 0.25)","0.46"
"diat_auto","AB","SiOH","0.27","(-0.19, 0.75)","0.88"
"diat_auto","AB","micro","0.02","(-4.66, 5.15)","0.50"
"diat_auto","AB","nano","0.00","(-4.50, 4.73)","0.50"
"diat_auto","AB","pico","-0.08","(-4.82, 4.82)","0.49"
"diat_auto","MB","wind_pca","0.28","(0.03, 0.54)","0.99"
"diat_auto","MB","temp","-0.45","(-0.85, -0.05)","0.01"
"diat_auto","MB","sal","0.64","(0.28, 1.02)","1.00"
"diat_auto","MB","P","0.08","(-0.27, 0.43)","0.67"
"diat_auto","MB","NH4","0.27","(-0.04, 0.58)","0.96"
"diat_auto","MB","N","0.14","(-0.12, 0.42)","0.86"
"diat_auto","MB","SiOH","-0.27","(-0.91, 0.27)","0.17"
"diat_auto","MB","micro","0.04","(-4.77, 5.00)","0.51"
"diat_auto","MB","nano","-0.04","(-4.61, 4.60)","0.49"
"diat_auto","MB","pico","-0.04","(-4.72, 4.77)","0.49"
"diat_auto","SC","wind_pca","0.16","(-0.09, 0.39)","0.90"
"diat_auto","SC","temp","-0.21","(-0.54, 0.14)","0.11"
"diat_auto","SC","sal","0.18","(-0.28, 0.59)","0.78"
"diat_auto","SC","P","-0.03","(-0.33, 0.24)","0.41"
"diat_auto","SC","NH4","-0.01","(-0.36, 0.29)","0.47"
"diat_auto","SC","N","0.04","(-0.20, 0.29)","0.64"
"diat_auto","SC","SiOH","0.17","(-0.16, 0.50)","0.84"
"diat_auto","SC","micro","0.05","(-4.67, 4.83)","0.51"
"diat_auto","SC","nano","-0.05","(-4.45, 4.80)","0.49"
"diat_auto","SC","pico","-0.06","(-4.81, 4.73)","0.48"
"dino_auto","CW","wind_pca","-0.34","(-0.79, 0.13)","0.08"
"dino_auto","CW","temp","0.84","(0.30, 1.38)","1.00"
"dino_auto","CW","sal","0.18","(-0.35, 0.75)","0.74"
"dino_auto","CW","P","0.08","(-0.46, 0.67)","0.61"
"dino_auto","CW","NH4","-0.04","(-0.52, 0.49)","0.44"
"dino_auto","CW","N","-0.37","(-0.91, 0.13)","0.08"
"dino_auto","CW","SiOH","-0.17","(-1.04, 0.93)","0.37"
"dino_auto","CW","micro","0.05","(-4.58, 4.84)","0.51"
"dino_auto","CW","nano","-0.01","(-4.74, 4.58)","0.50"
"dino_auto","CW","pico","0.06","(-4.92, 4.72)","0.51"
"dino_auto","CE","wind_pca","-0.67","(-1.23, -0.19)","0.00"
"dino_auto","CE","temp","1.19","(0.62, 1.91)","1.00"
"dino_auto","CE","sal","0.13","(-0.45, 0.70)","0.68"
"dino_auto","CE","P","-0.32","(-1.02, 0.27)","0.15"
"dino_auto","CE","NH4","-0.06","(-0.50, 0.41)","0.40"
"dino_auto","CE","N","-0.18","(-0.67, 0.40)","0.25"
"dino_auto","CE","SiOH","-0.42","(-1.26, 0.61)","0.20"
"dino_auto","CE","micro","0.02","(-4.57, 4.51)","0.50"
"dino_auto","CE","nano","-0.00","(-4.70, 4.53)","0.50"
"dino_auto","CE","pico","0.04","(-4.81, 4.68)","0.51"
"dino_auto","AB","wind_pca","-0.46","(-0.97, 0.08)","0.04"
"dino_auto","AB","temp","0.84","(0.22, 1.48)","0.99"
"dino_auto","AB","sal","-0.15","(-1.02, 0.56)","0.33"
"dino_auto","AB","P","0.14","(-0.48, 0.96)","0.67"
"dino_auto","AB","NH4","-0.23","(-0.75, 0.23)","0.17"
"dino_auto","AB","N","-0.40","(-1.00, 0.14)","0.07"
"dino_auto","AB","SiOH","-0.46","(-1.22, 0.29)","0.11"
"dino_auto","AB","micro","0.04","(-4.73, 4.66)","0.51"
"dino_auto","AB","nano","-0.02","(-4.72, 4.63)","0.50"
"dino_auto","AB","pico","0.03","(-4.69, 4.77)","0.51"
"dino_auto","MB","wind_pca","-0.61","(-1.05, -0.21)","0.00"
"dino_auto","MB","temp","0.69","(0.16, 1.20)","0.99"
"dino_auto","MB","sal","0.22","(-0.36, 0.84)","0.77"
"dino_auto","MB","P","0.00","(-0.58, 0.61)","0.50"
"dino_auto","MB","NH4","-0.21","(-0.68, 0.18)","0.15"
"dino_auto","MB","N","-0.58","(-1.14, -0.10)","0.01"
"dino_auto","MB","SiOH","-0.37","(-1.16, 0.58)","0.21"
"dino_auto","MB","micro","-0.01","(-4.82, 4.75)","0.50"
"dino_auto","MB","nano","0.05","(-4.58, 4.65)","0.51"
"dino_auto","MB","pico","0.04","(-4.91, 4.69)","0.51"
"dino_auto","SC","wind_pca","-0.47","(-0.89, -0.07)","0.01"
"dino_auto","SC","temp","0.93","(0.43, 1.44)","1.00"
"dino_auto","SC","sal","-0.26","(-1.08, 0.37)","0.22"
"dino_auto","SC","P","-0.09","(-0.53, 0.35)","0.35"
"dino_auto","SC","NH4","-0.01","(-0.49, 0.47)","0.48"
"dino_auto","SC","N","-0.25","(-0.66, 0.15)","0.10"
"dino_auto","SC","SiOH","-1.05","(-1.64, -0.53)","0.00"
"dino_auto","SC","micro","0.01","(-4.63, 4.73)","0.50"
"dino_auto","SC","nano","-0.06","(-4.69, 4.43)","0.49"
"dino_auto","SC","pico","-0.01","(-4.73, 4.74)","0.50"
"mixotroph","CW","wind_pca","-0.01","(-0.33, 0.32)","0.48"
"mixotroph","CW","temp","-0.41","(-0.82, -0.02)","0.02"
"mixotroph","CW","sal","-0.25","(-0.64, 0.17)","0.11"
"mixotroph","CW","P","0.05","(-0.33, 0.46)","0.61"
"mixotroph","CW","NH4","-0.15","(-0.49, 0.15)","0.14"
"mixotroph","CW","N","0.01","(-0.32, 0.38)","0.53"
"mixotroph","CW","SiOH","0.47","(-0.11, 1.11)","0.94"
"mixotroph","CW","micro","-0.19","(-0.76, 0.28)","0.23"
"mixotroph","CW","nano","-0.36","(-0.79, 0.06)","0.04"
"mixotroph","CW","pico","-0.01","(-0.47, 0.47)","0.48"
"mixotroph","CE","wind_pca","-0.05","(-0.33, 0.23)","0.36"
"mixotroph","CE","temp","-0.45","(-0.82, -0.09)","0.01"
"mixotroph","CE","sal","-0.23","(-0.60, 0.16)","0.13"
"mixotroph","CE","P","0.17","(-0.27, 0.65)","0.77"
"mixotroph","CE","NH4","0.03","(-0.31, 0.38)","0.57"
"mixotroph","CE","N","-0.02","(-0.33, 0.29)","0.45"
"mixotroph","CE","SiOH","0.39","(-0.17, 0.97)","0.92"
"mixotroph","CE","micro","0.11","(-0.26, 0.51)","0.71"
"mixotroph","CE","nano","-0.63","(-1.07, -0.23)","0.00"
"mixotroph","CE","pico","-0.35","(-0.78, 0.04)","0.04"
"mixotroph","AB","wind_pca","-0.16","(-0.50, 0.16)","0.17"
"mixotroph","AB","temp","-0.30","(-0.72, 0.14)","0.08"
"mixotroph","AB","sal","-0.76","(-1.39, -0.25)","0.00"
"mixotroph","AB","P","0.07","(-0.36, 0.57)","0.63"
"mixotroph","AB","NH4","-0.13","(-0.48, 0.17)","0.20"
"mixotroph","AB","N","-0.04","(-0.40, 0.34)","0.41"
"mixotroph","AB","SiOH","0.47","(-0.11, 1.09)","0.95"
"mixotroph","AB","micro","0.16","(-0.26, 0.65)","0.77"
"mixotroph","AB","nano","-0.43","(-0.94, 0.04)","0.03"
"mixotroph","AB","pico","0.07","(-0.52, 0.71)","0.59"
"mixotroph","MB","wind_pca","-0.12","(-0.41, 0.14)","0.18"
"mixotroph","MB","temp","-0.61","(-1.02, -0.22)","0.00"
"mixotroph","MB","sal","-0.09","(-0.46, 0.29)","0.32"
"mixotroph","MB","P","-0.07","(-0.45, 0.29)","0.35"
"mixotroph","MB","NH4","-0.05","(-0.34, 0.24)","0.37"
"mixotroph","MB","N","-0.14","(-0.44, 0.14)","0.16"
"mixotroph","MB","SiOH","0.45","(-0.03, 0.98)","0.96"
"mixotroph","MB","micro","-0.05","(-0.38, 0.29)","0.39"
"mixotroph","MB","nano","-0.04","(-0.30, 0.26)","0.39"
"mixotroph","MB","pico","-0.01","(-0.32, 0.32)","0.48"
"mixotroph","SC","wind_pca","-0.04","(-0.31, 0.22)","0.38"
"mixotroph","SC","temp","-0.12","(-0.48, 0.28)","0.28"
"mixotroph","SC","sal","-0.56","(-1.18, -0.07)","0.01"
"mixotroph","SC","P","-0.10","(-0.43, 0.21)","0.27"
"mixotroph","SC","NH4","0.04","(-0.31, 0.42)","0.59"
"mixotroph","SC","N","-0.41","(-0.74, -0.11)","0.00"
"mixotroph","SC","SiOH","0.20","(-0.25, 0.59)","0.82"
"mixotroph","SC","micro","0.13","(-0.12, 0.40)","0.84"
"mixotroph","SC","nano","-0.12","(-0.74, 0.59)","0.34"
"mixotroph","SC","pico","0.25","(-0.38, 1.14)","0.77"
"heterotroph","CW","wind_pca","-0.31","(-0.62, -0.04)","0.01"
"heterotroph","CW","temp","-0.04","(-0.39, 0.29)","0.41"
"heterotroph","CW","sal","-0.08","(-0.45, 0.27)","0.32"
"heterotroph","CW","P","-0.03","(-0.44, 0.36)","0.44"
"heterotroph","CW","NH4","-0.28","(-0.59, 0.01)","0.03"
"heterotroph","CW","N","-0.11","(-0.40, 0.23)","0.25"
"heterotroph","CW","SiOH","0.19","(-0.41, 0.92)","0.72"
"heterotroph","CW","micro","-0.13","(-0.62, 0.32)","0.27"
"heterotroph","CW","nano","-0.16","(-0.54, 0.22)","0.20"
"heterotroph","CW","pico","-0.18","(-0.59, 0.22)","0.19"
"heterotroph","CE","wind_pca","-0.28","(-0.60, 0.01)","0.03"
"heterotroph","CE","temp","0.06","(-0.28, 0.40)","0.65"
"heterotroph","CE","sal","-0.12","(-0.48, 0.23)","0.25"
"heterotroph","CE","P","-0.13","(-0.61, 0.27)","0.27"
"heterotroph","CE","NH4","-0.18","(-0.48, 0.10)","0.11"
"heterotroph","CE","N","-0.26","(-0.54, 0.03)","0.04"
"heterotroph","CE","SiOH","0.04","(-0.48, 0.55)","0.56"
"heterotroph","CE","micro","-0.03","(-0.39, 0.35)","0.44"
"heterotroph","CE","nano","-0.36","(-0.73, -0.00)","0.02"
"heterotroph","CE","pico","-0.11","(-0.40, 0.20)","0.24"
"heterotroph","AB","wind_pca","-0.17","(-0.44, 0.12)","0.12"
"heterotroph","AB","temp","0.19","(-0.13, 0.54)","0.87"
"heterotroph","AB","sal","-0.03","(-0.43, 0.39)","0.46"
"heterotroph","AB","P","0.33","(-0.04, 0.74)","0.96"
"heterotroph","AB","NH4","-0.20","(-0.47, 0.05)","0.06"
"heterotroph","AB","N","-0.33","(-0.63, -0.03)","0.02"
"heterotroph","AB","SiOH","0.26","(-0.24, 0.82)","0.85"
"heterotroph","AB","micro","-0.01","(-0.34, 0.34)","0.46"
"heterotroph","AB","nano","-0.35","(-0.82, 0.07)","0.05"
"heterotroph","AB","pico","-0.16","(-0.64, 0.30)","0.24"
"heterotroph","MB","wind_pca","-0.22","(-0.48, 0.05)","0.06"
"heterotroph","MB","temp","0.10","(-0.27, 0.45)","0.70"
"heterotroph","MB","sal","0.37","(-0.02, 0.78)","0.97"
"heterotroph","MB","P","0.20","(-0.15, 0.58)","0.87"
"heterotroph","MB","NH4","-0.13","(-0.40, 0.12)","0.15"
